att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,att_21,att_22,att_23,att_24,att_25,att_26,att_27,class
-0.5,0.6,-0.5,-1,0,0,-1,-0.3325,-0.6,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.734
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.6,-0.2,-1,-1,0,1,-1,0,-0.6,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.741
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.2,0.2,0,-1,1,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.749
0.5,0.2,-0.75,-1,-1,-1,0,0.3325,-0.2,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.753
-1,-0.2,-0.5,-1,-1,-1,-1,-0.3325,-1,-0.6,-0.2,-0.5,-1,-1,-1,-1,0,-1,-0.3325,0.3325,0.3325,-1,-1,-1,0,-0.3325,-1,0.756
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,0.6,0.2,-0.75,-1,-1,-1,0,1,-0.2,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.772
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,0.2,-0.6,-1,-1,-1,0,-1,1,-0.2,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.805
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-0.6,-1,-1,0,-1,-1,-1,1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.554
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.2,-0.2,-1,0,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.628
0,-0.6,-1,-1,-1,0,-1,0.3325,-0.2,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.638
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.2,0.2,0,-1,1,0,-1,0,-0.6,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.829
-0.5,0.2,-0.75,0,1,0,-1,-1,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.584
-1,-0.6,-1,-1,-1,-1,-1,-0.3325,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.602
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.2,0.2,0,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.628
0,-0.6,-1,-1,-1,0,-1,-0.3325,0.2,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.595
0,-0.6,-1,-1,-1,-1,0,-1,0.2,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.646
-0.5,-0.2,-0.5,1,1,-1,-1,-0.3325,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.545
-0.5,-0.6,-1,-1,-1,0,-1,1,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.675
0,-0.6,-1,1,1,1,-1,-0.3325,-0.2,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.571
0,-0.6,-1,-1,-1,0,-1,-0.3325,0.2,-0.2,-0.6,-1,1,-1,1,-1,-1,-0.6,1,-0.3325,-1,-1,-1,0,0,-0.3325,1,0.9
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.833
-1,0.6,0.5,-1,0,-1,-1,-0.3325,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.582
-1,-0.2,-0.25,-1,0,-1,-1,-0.3325,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.587
-0.5,-0.2,-0.5,1,1,-1,-1,-0.3325,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,0.3325,0.3325,0.3325,1,1,-1,0,-0.3325,-1,0.549
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.742
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.634
1,-0.2,-1,-1,-1,-1,1,-1,0.2,-0.2,-0.2,-1,0,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.639
0,-0.6,-1,1,1,1,-1,-0.3325,-0.2,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,1,-0.3325,-1,1,1,1,0,-0.3325,0.3325,0.1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.2,-0.6,-1,1,-1,1,-1,-1,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.547
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,-0.6,-1,-1,-1,0,-1,0,0.2,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.568
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.2,1,0.5,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.516
0,-0.6,-1,-1,-1,0,-1,-0.3325,0.2,-0.2,-0.6,-1,1,-1,1,-1,-1,-0.6,-0.3325,-0.3325,-1,-1,-1,-1,0,-0.3325,-1,0.9
1,-0.6,-1,-1,0,-1,-1,-1,1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.538
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.531
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.2,1,0.5,-1,0,0,-1,0,-0.6,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.763
-0.5,0.2,0,-1,0,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.619
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.2,-1,-1,0,1,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.613
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.619
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.6,-0.6,-1,-1,-1,-1,-1,0,-1,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.859
-0.5,1,1,-1,0,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.54
-0.5,-0.6,-1,-1,-1,0,-1,1,-0.6,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,0.3325,-0.3325,-1,-1,-1,0,0,1,-0.3325,0.893
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.2,0.6,-0.5,-1,0,0,-1,0,-0.6,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.838
0,-0.6,-1,-1,-1,0,-1,0.3325,-0.2,-0.2,-0.6,-1,1,-1,1,-1,-1,-0.6,1,-0.3325,-1,-1,-1,0,0,0.3325,0.3325,0.897
-1,-0.6,-1,-1,-1,-1,-1,-0.3325,-1,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,-0.3325,-0.3325,-1,-1,-1,-1,0,-0.3325,-1,0.745
-0.5,1,0.75,-1,0,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.56
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,-0.2,-1,-1,-1,-1,1,-1,0.2,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.584
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.9
-0.5,-0.6,-1,-1,-1,0,-1,1,-0.6,0.2,-0.6,-1,1,1,1,-1,0,-0.2,0.3325,-0.3325,-1,-1,-1,0,0,1,-0.3325,0.893
-0.5,0.2,0,-1,1,0,-1,-0.3325,-0.6,-0.2,0.2,0,-1,1,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.674
0,-0.6,-1,1,1,1,-1,-0.3325,-0.2,0.2,-0.6,-1,1,1,1,-1,0,-0.2,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.569
-0.5,0.2,0,-1,1,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.579
-0.5,0.6,-0.5,-1,0,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.642
-1,-0.6,-1,-1,-1,-1,-1,-0.3325,-1,0.2,-0.6,-1,1,1,1,-1,0,-0.2,-0.3325,-0.3325,-1,-1,-1,-1,0,-0.3325,-1,0.72
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,-0.6,-1,-1,-1,0,-1,1,-0.2,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.619
0.5,0.2,-0.75,-1,-1,-1,0,0.3325,-0.2,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.632
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.2,1,0.75,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.451
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-1,-1,-1,-1,-1,0,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.572
0,-0.6,-1,-1,-1,-1,0,-1,0.2,-0.2,-0.2,-1,-1,0,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.738
-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.2,0.2,0,-1,1,0,-1,0,-0.6,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.561
-0.5,-0.2,-1,-1,0,0,-1,-0.3325,-0.6,-0.2,1,1,-1,0,0,-1,0,-0.6,0.3325,0.3325,-1,-1,0,0,0,-0.3325,-0.3325,0.763
-0.5,1,0.5,-1,0,0,-1,-0.3325,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.624
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-0.2,-1,-1,-1,-1,1,-1,0.2,-0.3325,-1,-1,-1,-1,-1,0,-1,-1,0.534
